Direction and Energies,,,,,,,,,
X-axis ,,Y-axis,,inter-layer height ,,Energies (Hartree),,Relative energy (eV),
0.3,,5.3,,3.24,,-213.2902789,,0.280829267,
0.3,,5.4,,3.24,,-213.289992,,0.288637851,
0.3,,5.5,,3.24,,-213.2896838,,0.297022499,
0.3,,5.6,,3.24,,-213.2893714,,0.305523885,
0.3,,5.7,,3.26,,-213.2890941,,0.31307015,
0.3,,5.8,,3.25,,-213.288847,,0.319792999,
0.3,,5.9,,3.26,,-213.2886546,,0.325029016,
0.3,,6,,3.27,,-213.2884983,,0.32928243,
0.3,,6.1,,3.26,,-213.2884289,,0.33117199,
0.3,,6.2,,3.27,,-213.2883982,,0.332006836,
0.3,,6.3,,3.26,,-213.2884276,,0.33120546,
0.3,,6.4,,3.26,,-213.2884983,,0.329283791,
0.3,,6.5,,3.27,,-213.2886047,,0.326387682,
0.3,,6.6,,3.27,,-213.2887395,,0.322720401,
0.3,,6.7,,3.26,,-213.2889006,,0.318336645,
0.3,,6.8,,3.26,,-213.2890728,,0.313649753,
0.3,,6.9,,3.26,,-213.2892524,,0.308761769,
0.3,,7,,3.26,,-213.2894325,,0.303861812,
0.3,,7.1,,3.26,,-213.2896066,,0.299125668,
0.3,,7.2,,3.25,,-213.2897618,,0.294901915,
0.3,,7.3,,3.25,,-213.2899125,,0.290801157,
0.3,,7.4,,3.25,,-213.2900459,,0.287171156,
0.3,,7.5,,3.25,,-213.2901658,,0.283908237,
0.3,,7.6,,3.25,,-213.2902814,,0.280761511,
0.3,,7.7,,3.25,,-213.2904072,,0.277337772,
0.3,,7.8,,3.25,,-213.2905618,,0.273133067,
0.3,,7.9,,3.25,,-213.2907647,,0.267610241,
0.3,,8,,3.25,,-213.2910341,,0.260280306,
0.4,,0,,3.59,,-213.2709527,,0.806722498,
0.4,,0.1,,3.59,,-213.2711455,,0.801476956,
0.4,,0.2,,3.59,,-213.2715635,,0.790101503,
0.4,,0.3,,3.58,,-213.2722129,,0.772431236,
0.4,,0.4,,3.56,,-213.2730997,,0.74829935,
0.4,,0.5,,3.54,,-213.2742261,,0.717648429,
0.4,,0.6,,3.52,,-213.2755809,,0.680782969,
0.4,,0.7,,3.5,,-213.2771605,,0.637799025,
0.4,,0.8,,3.47,,-213.2789675,,0.588630474,
0.4,,0.9,,3.44,,-213.2809515,,0.53464088,
0.4,,1,,3.41,,-213.2830784,,0.476766858,
0.4,,1.1,,3.38,,-213.285295,,0.416449252,
0.4,,1.2,,3.35,,-213.2875068,,0.356263622,
0.4,,1.3,,3.31,,-213.2896335,,0.298391233,
0.4,,1.4,,3.29,,-213.2916073,,0.244683548,
0.4,,1.5,,3.28,,-213.2933303,,0.197797218,
0.4,,1.6,,3.26,,-213.2947947,,0.15794966,
0.4,,1.7,,3.24,,-213.2959737,,0.125866059,
0.4,,1.8,,3.23,,-213.2969122,,0.100327615,
0.4,,1.9,,3.23,,-213.297651,,0.080224649,
0.4,,2,,3.22,,-213.298217,,0.064823813,
0.4,,2.1,,3.21,,-213.2986541,,0.05292835,
0.4,,2.2,,3.21,,-213.2990146,,0.043119184,
0.4,,2.3,,3.21,,-213.2992971,,0.035431692,
0.4,,2.4,,3.19,,-213.2995202,,0.029362189,
0.4,,2.5,,3.19,,-213.2997178,,0.023983584,
0.4,,2.6,,3.18,,-213.2998376,,0.020725019,
0.4,,2.7,,3.19,,-213.2999099,,0.018757362,
0.4,,2.8,,3.18,,-213.2999042,,0.018912739,
0.4,,2.9,,3.18,,-213.2997985,,0.021789256,
0.4,,3,,3.17,,-213.299586,,0.027570318,
0.4,,3.1,,3.17,,-213.2992672,,0.036246945,
0.4,,3.2,,3.17,,-213.2988354,,0.047996284,
0.4,,3.3,,3.18,,-213.2983255,,0.061871104,
0.4,,3.4,,3.19,,-213.2977245,,0.078226244,
0.4,,3.5,,3.2,,-213.297056,,0.096415705,
0.4,,3.6,,3.21,,-213.2963463,,0.115728724,
0.4,,3.7,,3.21,,-213.2956352,,0.13507739,
0.4,,3.8,,3.21,,-213.2949101,,0.154809736,
0.4,,3.9,,3.23,,-213.2942278,,0.173373898,
0.4,,4,,3.23,,-213.2935857,,0.190848242,
0.4,,4.1,,3.23,,-213.2929868,,0.20714515,
0.4,,4.2,,3.25,,-213.2924597,,0.221487462,
0.4,,4.3,,3.25,,-213.2920175,,0.233520343,
0.4,,4.4,,3.25,,-213.2916465,,0.243616861,
0.4,,4.5,,3.25,,-213.2913478,,0.251745179,
0.4,,4.6,,3.25,,-213.2911161,,0.258047611,
0.4,,4.7,,3.25,,-213.2909406,,0.2628243,
0.4,,4.8,,3.24,,-213.2908014,,0.266611583,
0.4,,4.9,,3.24,,-213.2906935,,0.269547421,
0.4,,5,,3.25,,-213.29058,,0.272635915,
0.4,,5.1,,3.25,,-213.2904548,,0.276043598,
0.4,,5.2,,3.24,,-213.2903177,,0.279774281,
0.4,,5.3,,3.24,,-213.2901355,,0.284732743,
0.4,,5.4,,3.24,,-213.289922,,0.290542376,
0.4,,5.5,,3.24,,-213.2896858,,0.296970253,
0.4,,5.6,,3.24,,-213.2894405,,0.30364521,
0.4,,5.7,,3.25,,-213.2892182,,0.309692943,
0.4,,5.8,,3.26,,-213.2890059,,0.31547074,
0.4,,5.9,,3.25,,-213.2888428,,0.319909191,
0.4,,6,,3.26,,-213.2887276,,0.323042856,
0.4,,6.1,,3.26,,-213.2886571,,0.324961804,
0.4,,6.2,,3.27,,-213.2886197,,0.325979511,
0.4,,6.3,,3.26,,-213.2886532,,0.325067929,
0.4,,6.4,,3.27,,-213.2887037,,0.323694841,
0.4,,6.5,,3.27,,-213.288795,,0.32120908,
0.4,,6.6,,3.26,,-213.2889181,,0.317858268,
0.4,,6.7,,3.26,,-213.2890553,,0.314125953,
0.4,,6.8,,3.26,,-213.2892074,,0.309986827,
0.4,,6.9,,3.26,,-213.2893689,,0.305593002,
0.4,,7,,3.26,,-213.2895337,,0.301108019,
0.4,,7.1,,3.26,,-213.2896958,,0.296695962,
0.4,,7.2,,3.26,,-213.28985,,0.292500781,
0.4,,7.3,,3.26,,-213.2899924,,0.288625605,
0.4,,7.4,,3.26,,-213.2901223,,0.285090845,
0.4,,7.5,,3.26,,-213.2902433,,0.281799898,
0.4,,7.6,,3.26,,-213.2903638,,0.278519836,
0.4,,7.7,,3.26,,-213.2904972,,0.274891195,
0.4,,7.8,,3.26,,-213.29066,,0.27046118,
0.4,,7.9,,3.26,,-213.2908697,,0.264753588,
0.4,,8,,3.25,,-213.2911395,,0.257413313,
0.5,,0,,3.58,,-213.2720023,,0.778163317,
0.5,,0.1,,3.57,,-213.2722064,,0.772608382,
0.5,,0.2,,3.57,,-213.2726487,,0.760571419,
0.5,,0.3,,3.56,,-213.2733198,,0.742311209,
0.5,,0.4,,3.54,,-213.2742331,,0.717459854,
0.5,,0.5,,3.52,,-213.2753707,,0.686503349,
0.5,,0.6,,3.5,,-213.2767418,,0.649193254,
0.5,,0.7,,3.48,,-213.2783405,,0.605692022,
0.5,,0.8,,3.45,,-213.2801336,,0.556897084,
0.5,,0.9,,3.42,,-213.2820948,,0.503530086,
0.5,,1,,3.39,,-213.2841783,,0.446835406,
0.5,,1.1,,3.36,,-213.2863188,,0.388589677,
0.5,,1.2,,3.34,,-213.2884234,,0.331321925,
0.5,,1.3,,3.3,,-213.2904168,,0.277076543,
0.5,,1.4,,3.29,,-213.292245,,0.227329478,
0.5,,1.5,,3.26,,-213.2937989,,0.185047316,
0.5,,1.6,,3.26,,-213.2951201,,0.149094798,
0.5,,1.7,,3.24,,-213.2961655,,0.12064664,
0.5,,1.8,,3.23,,-213.2969837,,0.098384177,
0.5,,1.9,,3.24,,-213.2976099,,0.081344126,
0.5,,2,,3.22,,-213.298112,,0.067680194,
0.5,,2.1,,3.21,,-213.2984833,,0.057576601,
0.5,,2.2,,3.21,,-213.2988,,0.048960384,
0.5,,2.3,,3.21,,-213.2990498,,0.042162432,
0.5,,2.4,,3.21,,-213.2992434,,0.036892672,
0.5,,2.5,,3.19,,-213.2994092,,0.032381566,
0.5,,2.6,,3.2,,-213.2995152,,0.02949879,
0.5,,2.7,,3.19,,-213.2995802,,0.027728144,
0.5,,2.8,,3.18,,-213.2995608,,0.02825659,
0.5,,2.9,,3.18,,-213.2994518,,0.031223449,
0.5,,3,,3.17,,-213.2992312,,0.037226556,
0.5,,3.1,,3.17,,-213.2989111,,0.045934748,
0.5,,3.2,,3.19,,-213.2984818,,0.057617146,
0.5,,3.3,,3.18,,-213.2979673,,0.071617684,
0.5,,3.4,,3.19,,-213.2973627,,0.088069968,
0.5,,3.5,,3.2,,-213.296688,,0.106430588,
0.5,,3.6,,3.21,,-213.2959696,,0.12597817,
0.5,,3.7,,3.22,,-213.295232,,0.146050115,
0.5,,3.8,,3.22,,-213.2945195,,0.165438237,
0.5,,3.9,,3.22,,-213.2938125,,0.184677241,
0.5,,4,,3.23,,-213.2931588,,0.202464517,
0.5,,4.1,,3.23,,-213.2925456,,0.219149459,
0.5,,4.2,,3.25,,-213.292017,,0.233533949,
